Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
193301,   -2.30,   -0.57,    1.54,    8.33,   -0.79,    0.56,    0.70,    7.29,    5.36,   -6.23,    1.54,   -0.47,    2.42,    0.18,    1.34,    1.41,   13.29,    3.49,   10.17
193302,  -19.67,  -12.59,  -15.89,  -19.56,  -14.27,  -13.05,  -16.39,  -16.56,  -21.50,  -10.38,  -15.82,  -11.84,  -15.17,  -14.96,  -18.08,  -16.58,  -16.54,  -21.65,  -21.14
193303,    7.77,   -0.83,    4.70,    9.59,    5.54,    0.02,    1.64,    9.69,    8.52,   -0.77,    8.22,   -3.58,    6.63,   -0.78,    4.61,    8.09,   11.15,    9.34,    6.58
193304,   53.09,   27.30,   44.16,   49.95,   35.21,   30.37,   49.27,   36.47,   59.77,   25.37,   39.03,   23.53,   41.65,   49.70,   48.77,   37.16,   35.85,   65.13,   46.76
193305,   42.07,   16.61,   18.57,   27.54,   16.44,   15.49,   24.01,   21.70,   28.43,   24.50,   13.61,   16.70,   13.75,   16.26,   33.15,   16.86,   26.04,   25.33,   36.89
193306,   17.30,   10.15,   12.82,   18.02,   10.08,   10.90,   12.89,   16.74,   18.11,   15.05,    8.17,   10.19,   11.94,   15.86,    9.83,   15.37,   17.88,   18.27,   17.70
193307,  -13.40,  -10.55,   -7.82,   -6.57,  -11.53,   -9.21,   -8.76,   -7.07,   -5.21,   -9.76,  -12.57,   -9.42,   -8.79,   -9.04,   -8.53,   -6.06,   -8.23,   -4.86,   -8.58
193308,   15.25,   17.54,   11.42,    4.20,   20.18,   14.35,   14.78,    5.54,    3.33,   23.07,   18.43,   14.60,   13.88,   12.75,   16.52,    5.74,    5.30,    3.10,    5.65
193309,  -16.20,  -11.62,   -7.52,   -7.31,  -10.87,  -11.31,   -7.35,   -8.73,   -4.63,  -12.55,   -9.82,  -12.50,   -8.95,  -12.46,   -3.09,   -7.10,  -10.64,   -4.18,   -9.13
193310,  -14.11,   -6.98,   -5.74,   -6.88,   -5.73,   -8.21,   -5.28,   -6.04,   -7.05,   -9.34,   -3.53,   -8.47,   -7.69,   -6.69,   -4.22,   -5.53,   -6.67,   -7.08,   -6.78
193311,    9.78,   18.85,    8.14,    3.94,   14.13,   18.79,   10.81,    3.85,    4.48,   10.46,   16.24,   24.66,    7.60,   10.65,   10.93,    4.36,    3.22,    4.48,    4.51
193312,    2.29,    7.07,   -0.26,   -1.43,    8.80,    3.78,   -1.29,    0.81,   -3.04,    9.55,    8.40,    5.11,    0.88,   -2.56,   -0.36,    0.86,    0.73,   -3.04,   -3.14
193401,   22.59,   10.46,    9.92,    8.16,    8.49,   12.46,    7.40,   11.05,    7.85,   12.33,    6.36,   12.76,   11.78,   12.59,    3.69,   13.03,    8.56,    6.78,   18.88
193402,   -3.02,   -2.91,   -3.09,    0.14,   -3.20,   -3.31,   -3.87,   -1.83,    2.50,   -3.58,   -2.98,   -2.59,   -4.98,   -4.00,   -3.77,   -1.05,   -2.86,    2.60,    1.59
193403,   -0.21,   -0.42,    0.16,    0.68,   -0.41,    0.07,   -0.17,    0.22,    0.96,    0.37,   -0.87,   -0.42,    1.23,    0.84,   -0.95,    0.16,    0.30,    0.97,    0.91
193404,   -3.83,   -3.20,   -0.72,    0.68,   -3.88,   -1.93,   -1.89,    1.19,    0.09,   -5.78,   -2.76,   -2.44,   -0.76,   -1.50,   -2.20,    0.99,    1.47,   -0.28,    3.53
193405,  -11.89,   -8.81,   -4.57,   -3.64,   -9.05,   -7.38,   -5.82,   -2.93,   -3.97,  -10.15,   -8.42,   -8.54,   -4.71,   -6.72,   -5.11,   -2.72,   -3.21,   -3.99,   -3.81
193406,    2.31,    2.25,    3.14,    2.71,    4.29,    0.71,    3.48,    3.49,    1.70,    2.89,    5.07,    0.01,    2.23,    3.36,    3.57,    3.07,    4.05,    1.76,    1.16
193407,  -22.99,  -10.81,   -7.54,   -6.55,  -10.89,   -8.41,   -8.58,   -5.98,   -6.34,  -16.67,   -7.11,  -10.55,   -7.31,   -9.18,   -7.72,   -4.76,   -7.25,   -4.46,   -7.21
193408,    9.53,    6.56,    5.57,    2.24,    6.75,    5.71,    6.61,    2.02,    2.46,    7.59,    6.27,    5.96,    5.59,    8.74,    3.61,    2.50,    1.51,    2.73,    2.32
193409,   -0.24,   -1.89,    0.41,    0.69,   -0.93,   -0.68,   -0.35,    0.14,    1.08,   -1.35,   -0.68,   -4.98,    1.47,    0.07,   -0.96,    0.92,   -0.69,    1.55,    0.86
193410,   -5.24,   -2.71,    0.19,   -0.99,   -4.28,    1.93,   -0.31,    0.31,   -1.71,   -3.21,   -4.90,    2.50,    1.66,   -1.46,    1.38,   -0.77,    1.51,   -0.67,   -2.20
193411,   12.26,    9.58,    9.55,    3.51,   10.77,    8.78,   10.90,    6.78,    1.82,   11.12,   10.56,    5.89,   10.15,   11.93,    9.42,    4.47,    9.27,    6.37,   -0.40
193412,    0.41,    2.30,    0.91,   -2.20,    2.83,   -0.10,    2.01,   -0.65,   -2.56,    2.76,    2.88,    0.58,   -0.41,    2.57,    1.19,   -0.24,   -1.06,   -2.39,   -2.65
193501,   -7.72,   -3.35,   -2.71,   -1.57,   -2.80,   -2.81,   -3.92,   -0.87,   -1.67,   -5.07,   -1.44,   -5.18,   -1.72,   -4.97,   -2.35,   -0.51,   -1.25,   -3.37,   -0.78
193502,   -8.61,   -1.76,   -0.12,   -0.48,   -2.87,   -0.21,    0.37,    0.76,   -1.05,   -3.30,   -2.62,    2.06,   -1.21,    0.85,   -0.31,    0.25,    1.29,   -1.37,   -0.89
193503,   -6.75,   -3.63,   -3.77,   -1.36,   -3.72,   -3.91,   -3.19,   -5.12,   -0.03,   -3.63,   -3.77,   -3.32,   -4.17,   -4.00,   -2.01,   -4.89,   -5.36,   -3.32,    1.64
193504,   11.55,   12.01,    7.00,    7.89,   11.98,    9.92,    6.74,    4.42,    9.00,   13.35,   11.20,   12.11,    8.91,    6.36,    7.29,    4.49,    4.34,    8.38,    9.31
193505,    3.55,    3.63,    2.43,    5.03,    3.76,    2.49,    2.24,    2.57,    6.08,    1.11,    5.31,    3.22,    2.14,    1.90,    2.73,    3.57,    1.53,    2.52,    7.79
193506,    7.56,    5.45,    5.39,    6.53,    6.24,    4.15,    6.25,    4.51,    6.87,    6.69,    5.99,    2.88,    4.76,    6.25,    6.25,    3.69,    5.37,    6.50,    7.03
193507,   15.32,    6.39,    6.94,    5.41,    9.07,    3.79,    9.60,    6.02,    5.47,   11.74,    8.02,    3.53,    4.07,   11.79,    5.43,    6.55,    5.27,    6.07,    2.40
193508,    7.17,    2.49,    1.71,    1.79,    2.08,    1.17,    4.54,   -0.18,    2.86,    3.10,    1.67,    2.95,   -0.79,    5.97,    1.64,    0.26,   -0.81,    2.72,    3.62
193509,    1.82,    3.96,    2.18,    1.90,    5.11,    1.54,    4.28,    1.31,    1.96,    2.05,    6.39,    2.66,    0.26,    6.21,    0.23,    0.99,    1.75,    2.51,   -0.98
193510,   10.39,    6.78,    7.13,    4.73,    8.45,    5.53,    9.64,    4.52,    4.16,    8.67,    8.36,    4.85,    6.33,   10.45,    7.83,    3.32,    6.18,    4.34,    3.17
193511,   11.62,    3.06,    2.52,    7.21,    4.45,    1.41,    3.23,    4.22,    7.59,    8.01,    3.03,    1.40,    1.41,    4.16,    1.10,    2.70,    6.26,    8.14,    4.53
193512,    8.99,    4.14,    4.20,    2.04,    4.10,    4.76,    4.56,    2.36,    1.52,    5.36,    3.57,    4.18,    5.43,    3.88,    6.17,    1.59,    3.35,    1.10,    3.91
193601,   11.12,    6.49,    6.02,    5.69,    6.67,    6.61,    5.13,    6.08,    5.73,    9.32,    5.55,    6.26,    7.00,    5.38,    4.55,    6.46,    5.59,    5.41,    7.52
193602,    6.48,    2.08,    1.05,    2.55,    3.17,    1.24,    1.22,    0.82,    2.55,    2.96,    3.26,    0.74,    1.81,    1.54,    0.49,   -0.52,    2.55,    3.27,   -1.42
193603,    1.75,    0.76,    3.00,   -2.58,    0.89,    1.87,    5.12,   -1.38,   -3.42,    3.14,   -0.10,    0.60,    3.29,    6.85,    1.09,   -2.09,   -0.49,   -3.85,   -0.93
193604,  -12.79,   -7.18,   -7.62,   -5.77,   -8.23,   -6.75,   -8.18,   -6.36,   -5.40,   -9.10,   -7.84,   -5.85,   -7.73,   -9.00,   -6.14,   -6.11,   -6.66,   -5.57,   -4.43
193605,    7.19,    4.84,    4.32,    5.94,    4.71,    4.74,    3.86,    5.39,    6.06,    4.35,    4.88,    5.00,    4.45,    3.73,    4.17,    5.18,    5.66,    6.43,    4.00
193606,   -0.51,    2.90,    3.66,    2.61,    3.11,    2.55,    4.47,    3.57,    2.34,    3.60,    2.88,    2.64,    2.44,    4.33,    4.82,    3.83,    3.26,    2.67,    0.46
193607,   10.74,    8.60,    5.47,    3.88,    8.79,    8.05,    4.18,    4.20,    5.13,    7.03,    9.58,    8.15,    7.95,    6.05,    1.30,    6.46,    3.55,    6.67,    2.29
193608,    3.18,    1.45,    0.16,    0.48,    2.01,    0.61,   -0.38,    0.48,    0.68,    0.15,    2.82,    0.16,    1.11,   -1.51,    1.42,    0.64,    0.43,   -0.38,    2.72
193609,    2.99,   -0.02,    1.53,    0.64,   -0.55,    1.28,    1.52,    0.98,    0.35,    1.60,   -1.46,    1.21,    1.36,    2.43,    0.08,    1.84,    0.72,    0.09,    0.84
193610,    7.21,   10.64,    6.05,    4.77,   10.23,    9.30,    5.62,    5.41,    3.65,    9.98,   10.34,   11.59,    6.71,    6.03,    4.93,    6.53,    5.07,    3.54,    3.86
193611,    4.21,    3.69,    3.22,    1.96,    4.10,    3.65,    2.84,    1.63,    3.91,    8.50,    2.18,    2.75,    4.72,    2.02,    4.23,    2.24,    1.44,    3.13,    5.35
193612,    4.30,    2.05,   -0.96,   -3.28,    2.46,    1.12,   -1.46,   -3.45,   -1.43,    1.91,    2.70,    1.13,    1.11,   -0.70,   -2.73,   -2.40,   -3.78,   -1.48,   -1.33
193701,    9.25,    3.70,    0.99,    2.60,    3.52,    2.71,    1.02,    2.14,    2.76,    0.86,    4.70,    4.14,    1.04,    0.94,    1.16,    0.81,    2.56,    3.66,    1.14
193702,    5.70,    2.20,   -0.10,   -1.63,    3.19,    0.54,   -1.00,   -1.62,    0.96,    5.45,    2.23,   -0.09,    1.31,   -1.07,   -0.89,    0.76,   -2.34,    0.25,    2.26
193703,    4.11,    1.32,   -2.29,   -3.09,    0.35,    2.07,   -2.69,   -3.68,   -2.44,    2.62,   -0.65,    3.65,    0.20,   -3.08,   -2.03,   -4.92,   -3.28,   -4.68,    1.63
193704,  -12.09,   -7.55,   -5.34,   -6.27,   -8.74,   -5.32,   -5.42,   -5.44,   -7.60,   -9.71,   -8.30,   -4.80,   -5.97,   -4.47,   -7.01,   -4.01,   -5.88,   -6.81,   -8.95
193705,   -3.14,    0.21,   -0.61,   -0.53,    0.66,   -0.32,   -0.50,   -0.62,   -2.25,    0.29,    0.82,   -0.80,    0.28,    0.34,   -1.93,   -2.46,   -0.04,   -3.41,   -0.23
193706,   -7.03,   -2.51,   -4.62,   -4.04,   -2.21,   -4.26,   -4.13,   -4.06,   -4.57,   -1.44,   -2.56,   -3.17,   -5.61,   -3.62,   -5.03,   -4.62,   -3.89,   -5.43,   -3.13
193707,   13.63,    8.14,    7.93,   11.07,    8.70,    7.23,    8.44,   10.02,   10.21,    7.35,    9.32,    6.90,    7.51,    7.78,    9.13,    7.77,   11.57,    8.16,   12.54
193708,   -7.75,   -5.50,   -4.31,   -2.97,   -6.18,   -5.00,   -2.89,   -3.32,   -2.98,   -5.40,   -6.52,   -3.96,   -5.88,   -2.84,   -2.95,   -3.86,   -2.97,   -2.41,   -3.59
193709,  -24.47,  -15.16,   -9.34,  -11.98,  -16.02,   -9.93,  -10.74,  -11.33,  -13.20,  -20.95,  -13.78,  -13.27,   -7.04,  -10.20,  -11.31,  -11.38,  -11.29,  -11.22,  -15.40
193710,  -15.74,  -10.19,   -7.25,   -9.90,   -9.63,   -8.74,   -7.90,   -8.94,   -9.67,  -11.77,   -8.74,  -11.37,   -6.60,   -7.31,   -8.53,   -7.28,  -10.03,   -7.48,  -12.22
193711,  -10.60,   -8.09,   -6.74,  -11.08,   -8.25,   -6.91,   -6.75,   -9.25,  -12.62,   -6.85,   -8.82,   -7.72,   -6.29,   -6.28,   -7.25,   -7.82,  -10.22,  -10.83,  -14.80
193712,  -10.76,   -0.92,   -3.98,  -10.58,   -0.19,   -2.68,   -3.72,   -9.74,   -9.26,    0.89,   -0.64,   -2.51,   -2.80,   -2.23,   -5.36,   -7.52,  -11.30,   -6.67,  -12.62
193801,   -0.88,   -1.60,    0.46,    7.21,   -1.89,   -0.82,    0.74,    5.31,    7.41,   -0.86,   -2.31,   -0.98,   -0.71,   -0.77,    2.43,    2.87,    7.10,    6.69,    8.40
193802,    9.07,    7.61,    3.84,    4.64,    7.77,    4.53,    4.21,    5.70,    3.70,    4.56,    9.13,    7.27,    2.46,    3.56,    4.91,    6.48,    5.15,    3.91,    3.43
193803,  -33.19,  -25.42,  -20.31,  -23.90,  -25.43,  -22.13,  -20.51,  -22.68,  -24.84,  -25.36,  -25.46,  -25.39,  -19.57,  -21.03,  -19.95,  -21.66,  -23.39,  -22.83,  -27.60
