Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196708,   -0.83,   -0.14,   -0.09,   -0.81,   -1.93,   -1.30,   -0.51,    0.17,   -0.93,   -0.40,    0.18,    0.01,   -1.98,   -2.25,   -1.63
196709,    3.22,    3.41,    3.00,    3.63,    5.38,    4.17,    2.07,    3.46,    3.31,    3.22,    2.81,    3.58,    3.71,    3.87,    6.91
196710,   -1.36,   -4.76,   -4.76,   -1.30,   -1.81,   -2.10,   -0.91,   -4.39,   -5.26,   -4.92,   -4.54,   -1.17,   -1.48,   -0.32,   -3.16
196711,    1.17,   -0.41,    0.31,    2.04,    0.56,    0.64,    1.61,   -0.60,   -0.10,    0.06,    0.52,    2.22,    1.78,    1.13,    0.07
196712,    2.66,    2.67,    2.30,    5.02,    9.00,    1.99,    3.18,    3.17,    2.15,    2.04,    2.52,    3.93,    6.37,    7.97,   10.20
196801,   -1.75,   -4.97,   -5.32,   -6.93,   -5.05,    0.14,   -3.63,   -3.66,   -6.22,   -6.29,   -4.33,   -4.77,   -8.96,   -7.20,   -3.31
196802,   -1.71,   -3.38,   -3.60,   -6.44,   -9.11,   -1.61,   -1.84,   -3.54,   -3.15,   -4.11,   -2.79,   -6.61,   -6.20,   -7.81,  -10.23
196803,    0.56,    0.04,    1.38,    2.07,   -0.01,    0.32,    0.88,   -1.09,    1.32,   -0.50,    3.47,    2.90,    0.82,    1.51,   -1.45
196804,    6.44,    9.95,   10.77,   12.65,   17.13,    5.99,    7.42,   10.14,    9.56,   10.20,   11.69,   11.84,   13.77,   15.31,   18.54
196805,    1.31,    2.01,    3.29,    5.38,    7.43,    0.19,    2.14,    0.98,    3.72,    2.42,    4.35,    4.97,    5.92,    6.15,    8.78
196806,    2.00,    1.88,    0.19,   -0.13,   -2.31,    2.56,    1.54,    1.99,    1.68,   -0.28,    1.00,   -0.07,   -0.19,   -1.80,   -2.83
196807,   -0.03,   -3.09,   -2.73,   -6.57,   -4.68,    1.90,   -2.00,   -2.95,   -3.33,   -2.86,   -2.57,   -7.20,   -5.77,   -5.86,   -3.74
196808,    1.37,    1.56,    3.37,    2.01,    2.37,    1.15,    1.75,    0.95,    2.74,    3.34,    3.41,    1.66,    2.45,    0.92,    3.45
196809,    3.35,    3.34,    5.04,    7.27,    9.22,    3.18,    3.57,    2.84,    4.33,    4.64,    5.48,    7.36,    7.16,    6.80,   10.68
196810,    1.49,    1.32,    1.54,   -0.53,   -2.14,    2.84,    0.24,    0.44,    2.62,    1.39,    1.69,   -0.34,   -0.76,   -0.86,   -2.92
